question_id,folder_name,subject_name,question_type,hint_count
8d83b6b4-e8ae-4c36-82b8-b9062c961aa0,Arabic,Arabic,FILL_IN_THE_BLANK,2
aeca7cb6-30d4-40b4-bc39-ba4be17acc8e,Arabic,Arabic,FILL_IN_THE_BLANK,2
f3102384-c088-48d2-afd8-d667281a0619,Arabic,Arabic,FILL_IN_THE_BLANK,2
09d45817-9e0a-4ebb-a168-5b2dc00374a8,Arabic,Arabic,FILL_IN_THE_BLANK,2
4aecd5b4-9943-4d23-8cd6-51375248f199,Arabic,Arabic,FILL_IN_THE_BLANK,2
c0261411-7a0c-4edb-b37a-6249d5ce7f32,Arabic,Arabic,FILL_IN_THE_BLANK,2
79d17435-e229-46b9-8cb7-64ded538ed5b,Arabic,Arabic,FILL_IN_THE_BLANK,2
042c94f5-5388-4b10-ac7c-2628a81cf4c3,Arabic,Arabic,FILL_IN_THE_BLANK,2
6e2ce77c-f757-4d6d-941d-8c9bad5704bd,Arabic,Arabic,FILL_IN_THE_BLANK,2
11147f52-b252-4bc5-a53e-09056a65c899,Arabic,Arabic,FILL_IN_THE_BLANK,2
46b213b2-04b6-4a88-9182-159aae1cf385,Arabic,Arabic,FILL_IN_THE_BLANK,2
e683cf48-566e-4220-8d77-7339915b96a4,Arabic,Arabic,FILL_IN_THE_BLANK,2
24c92da1-7f0b-49de-930c-85d395efcf48,Arabic,Arabic,FILL_IN_THE_BLANK,2
56c53546-b9d1-464e-91a6-ecdb61bb258b,Arabic,Arabic,FILL_IN_THE_BLANK,2
4b9d27e0-e887-4a82-bbe3-e385cfedda03,Arabic,Arabic,FILL_IN_THE_BLANK,2
fe16233a-8ef1-4579-b28c-8a0f31a9fa32,Arabic,Arabic,FILL_IN_THE_BLANK,2
56457383-2a40-4b4b-9640-68d20f604ee8,Arabic,Arabic,FILL_IN_THE_BLANK,2
5081e5d8-b097-403b-b9b0-b8112b83862a,Arabic,Arabic,FILL_IN_THE_BLANK,2
f18a0bae-2ac3-4fa4-b227-49d78164c878,Arabic,Arabic,FILL_IN_THE_BLANK,2
f09c98dc-0ccc-45a0-8c4b-be295c2b9d2c,Arabic,Arabic,FILL_IN_THE_BLANK,2
f6e82a58-0da1-4fb7-9e75-2af59087331c,Arabic,Arabic,FILL_IN_THE_BLANK,2
680cc4c7-23b2-448c-87cf-15599fea5723,Arabic,Arabic,FILL_IN_THE_BLANK,2
fa7cfd7d-5d0a-4a39-b71f-7ac8028a81e2,Arabic,Arabic,FILL_IN_THE_BLANK,2
a04b965b-e9bf-488c-8420-ea35fc52fa1b,Arabic,Arabic,FILL_IN_THE_BLANK,2
c0c5a56d-b662-4c30-82a2-2196d9ac972c,Arabic,Arabic,FILL_IN_THE_BLANK,2
387d8e66-aef7-4bf3-92b7-7ef4210723cc,Arabic,Arabic,FILL_IN_THE_BLANK,2
c802f44c-df5f-4bd7-afbd-fe5642af8e9d,Arabic,Arabic,FILL_IN_THE_BLANK,2
4ed11551-a62d-40e8-a16b-657745a197de,Arabic,Arabic,FILL_IN_THE_BLANK,2
5cfdfb11-3b0b-4711-b33f-32a0580f2ce2,Arabic,Arabic,FILL_IN_THE_BLANK,2
8a340fd0-692e-4499-9384-f02c9abf33c9,Arabic,Arabic,FILL_IN_THE_BLANK,2
aad2c5de-e472-444e-891f-e13cd097aaab,Arabic,Arabic,FILL_IN_THE_BLANK,2
a22a6318-cec3-4194-a9ec-6db13328d524,Arabic,Arabic,FILL_IN_THE_BLANK,2
595dafb9-fee9-4b70-9820-2c83a024bc44,Arabic,Arabic,FILL_IN_THE_BLANK,2
146394dd-bd04-4167-ba57-e889a46f9b0b,Arabic,Arabic,FILL_IN_THE_BLANK,2
39e6f6c4-bfbc-4327-abde-75e0eaefa938,Arabic,Arabic,FILL_IN_THE_BLANK,2
445eb5b0-eb13-4244-a215-aea5ee8f229d,Arabic,Arabic,FILL_IN_THE_BLANK,2
6cb2bceb-2a58-4c9c-82d3-463382a1c76b,Arabic,Arabic,FILL_IN_THE_BLANK,2
c59b7b1d-1acc-4753-acff-74d609e6ed4e,Arabic,Arabic,FILL_IN_THE_BLANK,2
5b61220e-ea7f-4046-b494-7fe4c5c1e506,Arabic,Arabic,FILL_IN_THE_BLANK,2
749a7234-7e25-4435-aaef-3a101ca2f7d1,Arabic,Arabic,FILL_IN_THE_BLANK,2
b9d96486-1a71-4bc6-b5b6-d2cee6f81282,Arabic,Arabic,FILL_IN_THE_BLANK,2
78efc4a1-b810-4661-9ba7-ab5e5a8d4a2a,Arabic,Arabic,FILL_IN_THE_BLANK,2
1b7ade03-8259-42e6-ab93-71c3c5fe5ef0,Arabic,Arabic,FILL_IN_THE_BLANK,2
7306a19c-f397-470c-a515-16295ea6ac32,Arabic,Arabic,FILL_IN_THE_BLANK,2
24cb0aa8-7e21-444e-b8c4-5e7f1c6630dd,Arabic,Arabic,FILL_IN_THE_BLANK,2
fb706645-6fac-4b48-ad79-cec793a21e4f,Arabic,Arabic,FILL_IN_THE_BLANK,2
797b054f-ba8d-4dd5-9070-78096dbcd929,Arabic,Arabic,FILL_IN_THE_BLANK,2
87b70d50-d7d8-49b7-98fb-ede32e7c964e,Arabic,Arabic,FILL_IN_THE_BLANK,2
8a0967c3-4f9c-4719-a73f-3fa0a4e8a8f2,Arabic,Arabic,FILL_IN_THE_BLANK,2
cf232c1d-97dc-4707-b48a-f8b6c9f1764d,Arabic,Arabic,FILL_IN_THE_BLANK,2
