timestamp,question_id,lesson,question_type,reason,file_path
2026-06-15T08:47:15.392900,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.406806,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.423399,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.438089,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.450927,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.463601,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.479371,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.492514,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.507194,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.520947,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.535761,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.549111,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.566344,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.580677,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.596168,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.609314,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.621328,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.635507,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.648991,,,HTML_SANITIZER,Removed tag: <img>,
2026-06-15T08:47:15.661027,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.673235,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.686255,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.699381,,,HTML_SANITIZER,Removed tag: <sup>,
2026-06-15T08:47:15.712514,,,HTML_SANITIZER,Removed tag: <sup>,
